Zn %,Fe%,Cu %,Mn %,B %,S %,N,P,K,temperature,humidity,ph,rainfall,label
67.67,65.14,91.88,77.7,73.54,85.9,90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
80.51,78.19,99.77,91.82,89.04,88.62,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
79.27,88.14,95.54,97.24,88.05,95.67,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
58.3,71.16,98.86,91.4,86.15,86.81,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78.62,82.02,98.05,95.23,65.78,98.56,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
60.7,48.45,97.47,91.34,92.75,96.05,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
40.66,59.14,94.65,82.17,73.99,69.54,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
39.58,55.37,80.72,79.83,77.23,87.61,94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice
81.05,75.77,98.85,91.31,96.76,94.45,89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
58.7,64.93,96.44,78.35,85.4,88.29,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
61.6,93.71,95.22,98.34,79.43,87.59,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
67.36,87.69,96.54,96.76,87.74,88.24,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
68.61,67.42,92.82,92.72,71.8,86.46,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice
71.52,98.79,93.03,99.7,100,0.3,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
93.36,100,83.19,100,90.78,0.23,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
80,99.59,81.28,98.68,99.34,0.5,60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice
65.1,99.89,81.62,91.86,,71.25,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice
0,100,66.67,100,,100,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
57.72,99.45,92.05,94.33,0,90.59,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice
67.76,99.8,71.78,45.95,,7.96,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
35.68,100,80.54,51.63,,99.46,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
44.44,88.89,25,100,33.33,66.67,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice
